Audio,Precision,Recall,F1-Score,Accuracy
../../RawDataset/MTP_1617476751923/HH_MTP.wav,0,0,0,0
../../RawDataset/MTP_1617476751923/Snare_MTP.wav,0,0,0,0
../../RawDataset/MTP_1617476751923/Kick_MTP.wav,0,0,0,0
../../RawDataset/MTP_1617476751923/Freestyle_MTP.wav,0,0,0,0
../../RawDataset/MAF/MafP2.wav,1.0,0.0022830914485145043,0.004555781630946096,0.44495858911939035
../../RawDataset/MAF/MafI2.wav,0,0,0,0
../../RawDataset/AZI/AZiI2.wav,1.0,0.0005619260013696946,0.0011232208357465031,0.24699671888230312
../../RawDataset/AZI/AZiP2.wav,0,0,0,0
../../RawDataset/LML_1617020140983/HH_LML.wav,1.0,0.18180321119802387,0.3076708702013516,0.35305989583333336
../../RawDataset/LML_1617020140983/Snare_LML.wav,1.0,0.0045121793591295254,0.00898382210160609,0.20448655348557693
../../RawDataset/LML_1617020140983/Freestyle_LML.wav,1.0,0.0410088076756617,0.07878666803449078,0.25616891043526785
../../RawDataset/LML_1617020140983/Kick_LML.wav,0,0,0,0
../../RawDataset/JVS_1617180378425/HH_JVS.wav,0,0,0,0
../../RawDataset/JVS_1617180378425/Kick_JVS.wav,0,0,0,0
../../RawDataset/JVS_1617180378425/Snare_JVS.wav,0,0,0,0
../../RawDataset/JVS_1617180378425/Freestyle_JVS.wav,0,0,0,0
../../RawDataset/BIC/BicI2.wav,1.0,0.008265776506119853,0.016396027116506385,0.3396486028789162
../../RawDataset/BIC/BicP2.wav,0,0,0,0
../../RawDataset/MOB_1616751225808/Freestyle_MOB.wav,0,0,0,0
../../RawDataset/MOB_1616751225808/Kick_MOB.wav,0,0,0,0
../../RawDataset/MOB_1616751225808/HH_MOB.wav,0,0,0,0
../../RawDataset/MOB_1616751225808/Snare_MOB.wav,0,0,0,0
../../RawDataset/CAT/CatP2.wav,1.0,0.005163788930127481,0.010274522395248033,0.5106107112616427
