Audio,Precision,Recall,F1-Score,Accuracy
../../RawDataset/CAT/CatI2.wav,1.0,0.0008275095195919344,0.001653650627547494,0.48880384737510585
../../RawDataset/ISA/IsaI2.wav,0,0,0,0
../../RawDataset/ISA/IsaP2.wav,0,0,0,0
../../RawDataset/APL_1616757118902/Freestyle_APL.wav,0,0,0,0
../../RawDataset/APL_1616757118902/HH_APL.wav,1.0,0.0048618364827651694,0.009676626788380487,0.5358648667800453
../../RawDataset/APL_1616757118902/Snare_APL.wav,0,0,0,0
../../RawDataset/APL_1616757118902/Kick_APL.wav,0,0,0,0
../../RawDataset/OBH_1617275905744/HH_OBH.wav,0,0,0,0
../../RawDataset/OBH_1617275905744/Snare_OBH.wav,0,0,0,0
../../RawDataset/OBH_1617275905744/Kick_OBH.wav,0,0,0,0
../../RawDataset/OBH_1617275905744/Freestyle_OBH.wav,0,0,0,0
../../RawDataset/MSF_1616750364871/Snare_MSF.wav,0,0,0,0
../../RawDataset/MSF_1616750364871/HH_MSF.wav,0,0,0,0
../../RawDataset/MSF_1616750364871/Kick_MSF.wav,0,0,0,0
../../RawDataset/MSF_1616750364871/Freestyle_MSF.wav,0,0,0,0
../../RawDataset/ZGA/ZgaP2.wav,1.0,0.001105239526128553,0.0022080386406762116,0.6173661092294666
../../RawDataset/ZGA/ZgaI2.wav,1.0,0.0008078869968063217,0.0016144696845477593,0.47637727561388654
../../RawDataset/ARF_1616756270238/Kick_ARF.wav,0,0,0,0
../../RawDataset/ARF_1616756270238/Freestyle_ARF.wav,0,0,0,0
../../RawDataset/ARF_1616756270238/HH_ARF.wav,0,0,0,0
../../RawDataset/ARF_1616756270238/Snare_ARF.wav,0,0,0,0
../../RawDataset/IGN_1616754663660/HH_IGN.wav,0,0,0,0
../../RawDataset/IGN_1616754663660/Snare_IGN.wav,0,0,0,0
../../RawDataset/IGN_1616754663660/Kick_IGN.wav,0,0,0,0
../../RawDataset/IGN_1616754663660/Freestyle_IGN.wav,0,0,0,0
../../RawDataset/JMP_1617018989017/Kick_JMP.wav,0,0,0,0
../../RawDataset/JMP_1617018989017/Snare_JMP.wav,1.0,0.01872576987784361,0.03676312199325052,0.4887576219512195
../../RawDataset/JMP_1617018989017/Freestyle_JMP.wav,1.0,0.0046681254558716264,0.009292870625816756,0.2701112537441164
../../RawDataset/JMP_1617018989017/HH_JMP.wav,1.0,0.12823081546784212,0.22731308826141006,0.6683689024390244
../../RawDataset/ZIZ/ZizP2.wav,0,0,0,0
../../RawDataset/ZIZ/ZizI2.wav,0,0,0,0
../../RawDataset/AFR/AFRP2.wav,0,0,0,0
../../RawDataset/AFR/AFRI2.wav,0,0,0,0
../../RawDataset/RIC/RicP2.wav,0.9333333333333333,0.013827907371540129,0.027252058731836396,0.5768648126587638
../../RawDataset/RIC/RicI2.wav,0.9848345588235294,0.01585059171597633,0.03119904495690659,0.5597944009314141
../../RawDataset/JMP_1617019223452/Kick_JMP.wav,0,0,0,0
../../RawDataset/JMP_1617019223452/Snare_JMP.wav,0,0,0,0
../../RawDataset/JMP_1617019223452/Freestyle_JMP.wav,1.0,0.00826130685699226,0.016387233747459495,0.25744603737113403
../../RawDataset/JMP_1617019223452/HH_JMP.wav,1.0,0.10428170544039106,0.18886793999508156,0.6229039634146342
../../RawDataset/ACS_1617276025118/Kick_ACS.wav,0,0,0,0
../../RawDataset/ACS_1617276025118/HH_ACS.wav,0,0,0,0
../../RawDataset/ACS_1617276025118/Freestyle_ACS.wav,0,0,0,0
../../RawDataset/ACS_1617276025118/Snare_ACS.wav,0,0,0,0
../../RawDataset/CAV/CavI2.wav,1.0,0.0073312361768308265,0.01455576063471514,0.2547695279424217
../../RawDataset/CAV/CavP2.wav,1.0,0.0026345986610887273,0.00525535157994139,0.3589086314563929
../../RawDataset/JSO/JSoI2.wav,0,0,0,0
../../RawDataset/CRA/CraI2.wav,1.0,0.01269721935072936,0.025076042687013456,0.37451709356477564
../../RawDataset/CRA/CraP2.wav,1.0,0.003885518853367197,0.00774096006047625,0.3487742114733277
../../RawDataset/ROB/RobI2.wav,1.0,0.0041453462011788325,0.008256466490356704,0.38975179932260795
../../RawDataset/ROB/RobP2.wav,0,0,0,0
../../RawDataset/JOL/JOlP2.wav,0,0,0,0
../../RawDataset/JOL/JOlI2.wav,0,0,0,0
../../RawDataset/JSI/JSiI2.wav,0,0,0,0
../../RawDataset/JSI/JSiP2.wav,0,0,0,0
../../RawDataset/OBM_1616754438559/Freestyle_OBM.wav,0,0,0,0
../../RawDataset/OBM_1616754438559/Kick_OBM.wav,0,0,0,0
../../RawDataset/OBM_1616754438559/HH_OBM.wav,0,0,0,0
../../RawDataset/OBM_1616754438559/Snare_OBM.wav,0,0,0,0
../../RawDataset/SOF/SofP2.wav,0,0,0,0
../../RawDataset/SOF/SofI2.wav,0,0,0,0
../../RawDataset/SPS_1617475249426/Kick_SPS.wav,0,0,0,0
../../RawDataset/SPS_1617475249426/Snare_SPS.wav,0,0,0,0
../../RawDataset/SPS_1617475249426/HH_SPS.wav,0,0,0,0
../../RawDataset/SPS_1617475249426/Freestyle_SPS.wav,0,0,0,0
../../RawDataset/NOR/NorP2.wav,0,0,0,0
../../RawDataset/NOR/NorI2.wav,0,0,0,0
../../RawDataset/JMP_1617019148273/Kick_JMP.wav,0,0,0,0
../../RawDataset/JMP_1617019148273/Snare_JMP.wav,1.0,0.024596464258262875,0.04801200300075019,0.613109756097561
../../RawDataset/JMP_1617019148273/Freestyle_JMP.wav,1.0,0.0027051778795350477,0.005395759270448382,0.208031238811314
../../RawDataset/JMP_1617019148273/HH_JMP.wav,0,0,0,0
../../RawDataset/MCO/MCoP2.wav,0,0,0,0
../../RawDataset/MCO/MCoI2.wav,0,0,0,0
../../RawDataset/MFU_1617025839878/Kick_MFU.wav,0,0,0,0
../../RawDataset/MFU_1617025839878/HH_MFU.wav,0,0,0,0
../../RawDataset/MFU_1617025839878/Freestyle_MFU.wav,0,0,0,0
../../RawDataset/MFU_1617025839878/Snare_MFU.wav,0,0,0,0
../../RawDataset/BEA/BeaP2.wav,1.0,0.0007670411985018727,0.0015329065944923144,0.44847123729889926
../../RawDataset/BEA/BeaI2.wav,1.0,0.0014652685562525757,0.0029262493713136115,0.42297311600338694
../../RawDataset/MAR/MarP2.wav,1.0,0.004483990751769074,0.00892794866429518,0.4360314352243861
../../RawDataset/MAR/MarI2.wav,0,0,0,0
../../RawDataset/VGM_1617276144132/Kick_VGM.wav,0,0,0,0
../../RawDataset/VGM_1617276144132/Freestyle_VGM.wav,0,0,0,0
../../RawDataset/VGM_1617276144132/HH_VGM.wav,0,0,0,0
../../RawDataset/VGM_1617276144132/Snare_VGM.wav,0,0,0,0
../../RawDataset/JOS/JoSP2.wav,0,0,0,0
../../RawDataset/ND_1617474893180/HH_ND.wav,0,0,0,0
../../RawDataset/ND_1617474893180/Freestyle_ND.wav,0,0,0,0
../../RawDataset/ND_1617474893180/Kick_ND.wav,0,0,0,0
../../RawDataset/ND_1617474893180/Snare_ND.wav,0,0,0,0
