Audio,Precision,Recall,F1-Score
../../RawDataset/JOL/JOlI2.wav,0.9090909090909091,0.8333333333333334,0.8695652173913043
../../RawDataset/JSI/JSiI2.wav,1.0,0.475,0.6440677966101694
../../RawDataset/JSI/JSiP2.wav,1.0,0.7,0.8235294117647058
../../RawDataset/OBM_1616754438559/Freestyle_OBM.wav,0.9333333333333333,0.875,0.9032258064516129
../../RawDataset/OBM_1616754438559/Kick_OBM.wav,1.0,1.0,1.0
../../RawDataset/OBM_1616754438559/HH_OBM.wav,0.8571428571428571,0.8571428571428571,0.8571428571428571
../../RawDataset/OBM_1616754438559/Snare_OBM.wav,1.0,1.0,1.0
../../RawDataset/SOF/SofP2.wav,0.8636363636363636,0.95,0.9047619047619048
../../RawDataset/SOF/SofI2.wav,0.9375,0.8333333333333334,0.8823529411764706
../../RawDataset/SPS_1617475249426/Kick_SPS.wav,1.0,1.0,1.0
../../RawDataset/SPS_1617475249426/Snare_SPS.wav,1.0,1.0,1.0
../../RawDataset/SPS_1617475249426/HH_SPS.wav,1.0,1.0,1.0
../../RawDataset/SPS_1617475249426/Freestyle_SPS.wav,0.9705882352941176,0.8461538461538461,0.9041095890410958
../../RawDataset/NOR/NorP2.wav,0.9444444444444444,0.85,0.8947368421052632
../../RawDataset/NOR/NorI2.wav,0.9047619047619048,0.8260869565217391,0.8636363636363636
../../RawDataset/JMP_1617019148273/Kick_JMP.wav,1.0,1.0,1.0
../../RawDataset/JMP_1617019148273/Snare_JMP.wav,1.0,1.0,1.0
../../RawDataset/JMP_1617019148273/Freestyle_JMP.wav,1.0,1.0,1.0
../../RawDataset/JMP_1617019148273/HH_JMP.wav,1.0,1.0,1.0
../../RawDataset/MCO/MCoP2.wav,0.95,0.95,0.9500000000000001
../../RawDataset/MCO/MCoI2.wav,1.0,1.0,1.0
../../RawDataset/MFU_1617025839878/Kick_MFU.wav,1.0,1.0,1.0
../../RawDataset/MFU_1617025839878/HH_MFU.wav,1.0,1.0,1.0
../../RawDataset/MFU_1617025839878/Freestyle_MFU.wav,1.0,0.7142857142857143,0.8333333333333333
../../RawDataset/MFU_1617025839878/Snare_MFU.wav,1.0,1.0,1.0
../../RawDataset/BEA/BeaP2.wav,0.8666666666666667,0.65,0.7428571428571429
../../RawDataset/BEA/BeaI2.wav,1.0,1.0,1.0
../../RawDataset/MAR/MarP2.wav,0.9473684210526315,0.9,0.9230769230769231
../../RawDataset/MAR/MarI2.wav,0.8823529411764706,0.9375,0.9090909090909091
../../RawDataset/VGM_1617276144132/Kick_VGM.wav,1.0,1.0,1.0
../../RawDataset/VGM_1617276144132/Freestyle_VGM.wav,0.7,0.7777777777777778,0.7368421052631577
../../RawDataset/VGM_1617276144132/HH_VGM.wav,1.0,0.8333333333333334,0.9090909090909091
../../RawDataset/VGM_1617276144132/Snare_VGM.wav,1.0,1.0,1.0
../../RawDataset/JOS/JoSP2.wav,1.0,0.95,0.9743589743589743
../../RawDataset/ND_1617474893180/HH_ND.wav,1.0,1.0,1.0
../../RawDataset/ND_1617474893180/Freestyle_ND.wav,0.8421052631578947,0.8,0.8205128205128205
../../RawDataset/ND_1617474893180/Kick_ND.wav,0.6,0.6,0.6
../../RawDataset/ND_1617474893180/Snare_ND.wav,0.6666666666666666,0.8,0.7272727272727272
