mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_mean_14,mfcc_mean_15,mfcc_mean_16,mfcc_mean_17,mfcc_mean_18,mfcc_mean_19,mfcc_mean_20,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13,mfcc_std_14,mfcc_std_15,mfcc_std_16,mfcc_std_17,mfcc_std_18,mfcc_std_19,mfcc_std_20
-84.98489,237.744,120.497345,127.85862,49.362522,59.112316,49.300087,37.97454,25.975271,31.32483,33.076866,23.704868,40.92062,32.800983,20.02285,23.444948,17.87815,27.876608,22.376987,15.713064,189.78624,116.88015,47.471832,41.359745,36.03355,32.687397,27.178179,28.611183,21.855978,18.931263,24.627844,17.825686,19.150415,18.826935,16.956854,18.18472,20.992773,16.871502,16.784508,16.758072
-591.1706,-123.05992,-181.3717,-82.99157,-78.593605,-48.847717,-57.456306,-42.689713,-43.427124,-47.069763,-41.90828,-51.892635,-35.85849,-34.335648,-33.573166,-41.037395,-27.503931,-28.72606,-28.028618,-23.04939,6.880404,1.5598228,3.014134,1.603312,1.408382,1.6685246,1.4965409,1.4473886,0.16453028,0.426427,0.9243567,1.4323585,1.3308203,0.6123349,1.4077245,0.66787666,1.2781639,0.8152927,0.78350955,0.81004256
